target,source,group,value
Amphipoda,Algae,Algae,21.16402116
Amphipoda,Macrophytes,Macrophytes,5.291005291
Copepoda,Algae,Algae,2.645502646
Copepoda,Cladocera,Predator,2.645502646
Copepoda,Rotifers,Predator,2.645502646
Ostracoda,Algae,Algae,3.174603175
Ostracoda,Detritus,Detritus,3.174603175
Paratya,Algae,Algae,1.428571429
Paratya,Detritus,Detritus,1.428571429
Paratya,Annelida*,Predator,0.317460317
Corixidae,Macrophytes,Macrophytes,4.497354497
Corixidae,Diptera,Predator,4.497354497
Ephemeroptera,Detritus,Detritus,15.23809524
Ephemeroptera,Algae,Algae,3.80952381
Tricoptera,Algae,Algae,3.216931217
Tricoptera,Macrophytes,Macrophytes,3.216931217
Tricoptera,Detritus,Detritus,3.116402116
Tricoptera,Diptera,Predator,0.502645503
Coleoptera,Macrophytes,Macrophytes,3.968253968
Coleoptera,Diptera,Predator,1.322751323
Coleoptera,Cladocera,Predator,1.322751323
Coleoptera,Ostracoda*,Predator,1.322751323
Plant material,Macrophytes,Macrophytes,3.703703704
Annelida,Detritus,Detritus,2.116402116
Annelida,Algae,Algae,2.116402116
Annelida,Macrophytes,Macrophytes,2.116402116
Annelida*,Detritus,Detritus,0.105820106
Annelida*,Algae,Algae,0.105820106
Annelida*,Macrophytes,Macrophytes,0.105820106
Ostracoda*,Detritus,Detritus,0.661375661
Ostracoda*,Algae,Algae,0.661375661
Rotifers,Algae,Algae,1.322751323
Rotifers,Detritus,Detritus,1.322751323
Cladocera,Detritus,Detritus,1.984126984
Cladocera,Algae,Algae,1.984126984
Diptera,Detritus,Detritus,3.161375661
Diptera,Algae,Algae,3.161375661
